组ID,起始节点,结束节点,实际行数,总时间(小时),路径
1,181,87,7,7.1546,181→182 → 182→111 → 111→183 → 183→74 → 74→161 → 161→168 → 168→87
2,125,3,7,7.2674,125→59 → 59→122 → 122→184 → 184→93 → 93→185 → 185→197 → 197→3
3,222,213,7,6.7594,222→221 → 221→131 → 131→45 → 45→24 → 24→175 → 175→39 → 39→213
4,214,191,7,6.6815,214→143 → 143→128 → 128→215 → 215→216 → 216→25 → 25→195 → 195→191
5,146,135,7,7.103,146→84 → 84→90 → 90→52 → 52→159 → 159→96 → 96→112 → 112→135
6,81,153,7,6.914,81→177 → 177→37 → 37→14 → 14→198 → 198→40 → 40→176 → 176→153
7,18,53,7,7.0122,18→102 → 102→138 → 138→29 → 29→72 → 72→205 → 205→206 → 206→53
8,70,157,7,6.8052,70→17 → 17→119 → 119→132 → 132→165 → 165→141 → 141→164 → 164→157
9,4,2,7,6.82,4→67 → 67→166 → 166→69 → 69→179 → 179→169 → 169→142 → 142→2
10,49,73,7,6.9299,49→156 → 156→155 → 155→115 → 115→31 → 31→140 → 140→26 → 26→73
11,133,78,7,7.1241,133→92 → 92→80 → 80→174 → 174→57 → 57→1 → 1→110 → 110→78
12,217,218,7,7.0842,217→46 → 46→60 → 60→61 → 61→44 → 44→200 → 200→202 → 202→218
13,11,178,7,7.0835,11→19 → 19→204 → 204→203 → 203→20 → 20→219 → 219→130 → 130→178
14,114,34,7,7.2414,114→220 → 220→95 → 95→66 → 66→180 → 180→28 → 28→208 → 208→34
15,32,104,7,6.8013,32→107 → 107→79 → 79→75 → 75→116 → 116→41 → 41→35 → 35→104
16,162,172,7,6.9434,162→145 → 145→171 → 171→62 → 62→7 → 7→42 → 42→23 → 23→172
17,50,58,7,7.1267,50→36 → 36→48 → 48→98 → 98→38 → 38→121 → 121→65 → 65→58
18,109,160,7,6.8854,109→117 → 117→108 → 108→64 → 64→103 → 103→77 → 77→27 → 27→160
19,113,6,7,6.9715,113→144 → 144→99 → 99→12 → 12→148 → 148→106 → 106→21 → 21→6
20,170,173,7,6.9732,170→127 → 127→9 → 9→22 → 22→207 → 207→154 → 154→163 → 163→173
21,55,212,7,7.1742,55→101 → 101→201 → 201→199 → 199→43 → 43→68 → 68→137 → 137→212
22,211,167,7,7.1196,211→16 → 16→124 → 124→105 → 105→151 → 151→194 → 194→47 → 47→167
23,30,152,7,7.3833,30→120 → 120→189 → 189→188 → 188→186 → 186→85 → 85→187 → 187→152
24,126,192,7,6.991,126→33 → 33→89 → 89→51 → 51→13 → 13→97 → 97→190 → 190→192
25,134,88,7,6.4505,134→193 → 193→139 → 139→136 → 136→196 → 196→94 → 94→86 → 86→88
26,209,82,7,7.0526,209→210 → 210→118 → 118→91 → 91→76 → 76→8 → 8→54 → 54→82
27,63,149,7,6.5846,63→15 → 15→129 → 129→158 → 158→83 → 83→147 → 147→100 → 100→149
28,10,56,5,5.1751,10→5 → 5→123 → 123→71 → 71→150 → 150→56
