时间,发电量
2.0,0.0
2.083,0.0
2.167,0.0
2.25,0.0
2.333,0.0
2.417,0.0
2.5,0.0
2.583,0.0
2.667,0.0
2.75,0.0
2.833,0.0
2.917,0.0
3.0,0.0
3.083,0.0
3.167,0.0
3.25,0.0
3.333,0.0
3.417,0.0
3.5,0.0
3.583,0.0
3.667,0.0
3.75,0.0
3.833,0.0
3.917,0.0
4.0,0.0
4.083,0.0
4.167,0.0
4.25,0.0
4.333,0.0
4.417,0.0
4.5,0.0
4.583,0.0
4.667,0.0
4.75,0.0
4.833,0.0
4.917,0.0
5.0,0.0
5.083,0.0
5.167,0.0
5.25,0.0
5.333,0.0
5.417,0.0
5.5,0.0
5.583,0.0
5.667,0.0
5.75,0.0
5.833,0.33331443909107583
5.917,1.0832719270459965
6.0,3.499801610456296
6.083,6.332974342730441
6.167,10.33274761182335
6.25,15.415792807962257
6.333,21.998752980011
6.417,30.08162812796959
6.5,39.9977326909291
6.583,51.66373805911675
6.667,65.74627311071471
6.75,82.07868062617742
6.833,102.57751863027858
6.917,126.99280129369988
7.0,152.07471283530333
7.083,182.32299818281845
7.167,216.82104262874478
7.25,256.068817831719
7.333,302.64951069469686
7.417,351.4800760215394
7.5,406.47695847156695
7.583,465.223628361369
7.667,530.3866012036744
7.75,607.0489221946218
7.833,685.3778153810246
7.917,761.7901505426538
8.0,856.868094293383
8.083,952.4460097027492
8.167,1050.4404547955253
8.25,1163.8506926962639
8.333,1280.0941033292768
8.417,1398.8373722554725
8.5,1522.9970008168982
8.583,1663.2390510644684
8.667,1793.8149825783971
8.75,1934.2236900455127
8.833,2086.381731490589
8.917,2238.7064301552105
9.0,2402.5304769684744
9.083,2569.5210109531035
9.167,2745.5943634029645
9.25,2929.667262391011
9.333,3098.407697180868
9.417,3286.0637263891435
9.5,3483.552531550606
9.583,3682.791237517297
9.667,3885.2797592651254
9.75,4102.600773552506
9.833,4316.838629278296
9.917,4539.992646249771
10.0,4769.729623393295
10.083,4987.967252388176
10.167,5224.703832752613
10.25,5451.107665505227
10.333,5694.177220212393
10.417,5929.0805711618295
10.5,6170.650210893087
10.583,6428.302272310489
10.667,6681.954560458797
10.75,6935.356862777787
10.833,7200.25851324542
10.917,7461.8270193221415
11.0,7744.97763533001
11.083,8008.796013870597
11.167,8265.61478919027
11.25,8537.766028708134
11.333,8815.500285080774
11.417,9094.317813380458
11.5,9374.635256656053
11.583,9648.11975393028
11.667,9940.35318840338
11.75,10226.670291582615
11.833,10492.405228147974
11.917,10786.138577596987
12.0,11067.539292799625
12.083,11361.93927112682
12.167,11662.338909357652
12.25,11955.322301318707
12.333,12231.139999666571
12.417,12511.040799893302
12.5,12794.858044779354
12.583,13088.341408399045
12.667,13378.908270676691
12.75,13665.392031075473
12.833,13949.792576229931
12.917,14228.193461480752
13.0,14516.677108514077
13.083,14808.827214377407
13.167,15098.97743360619
13.25,15388.294366737244
13.333,15675.861399063066
13.417,15936.179975993198
13.5,16223.497022489704
13.583,16514.230541986897
13.667,16794.631313872265
13.75,17075.698714635815
13.833,17356.3494723505
13.917,17615.41812013404
14.0,17883.819572212127
14.083,18156.88742643749
14.167,18424.12227797876
14.25,18692.773715886167
14.333,18943.84281713152
14.417,19210.16105396529
14.5,19472.81283196906
14.583,19729.131635630096
14.667,19971.367904239534
14.75,20221.437062167613
14.833,20452.757282896822
14.917,20686.827347748527
15.0,20923.813913942282
15.083,21154.967477451948
15.167,21384.037825717285
15.25,21604.858641615123
15.333,21830.67917409933
15.417,22054.66647716853
15.5,22270.404247870232
15.583,22475.225970691696
15.667,22680.21435073271
15.75,22875.53661204008
15.833,23066.60911424904
15.917,23245.18232499208
16.0,23433.9216261274
16.083,23614.911366553853
16.167,23790.318090125536
16.25,23943.559403497657
16.333,24108.716708067288
16.417,24264.1245652935
16.5,24423.198881349716
16.583,24564.440874914562
16.667,24706.76614040645
16.75,24839.84193021356
16.833,24975.084263874764
16.917,25089.827759531865
17.0,25208.321042628748
17.083,25318.481464748347
17.167,25421.30896920794
17.25,25523.303187569814
17.333,25617.214530783724
17.417,25705.37619992331
17.5,25786.038294183352
17.583,25859.200813563843
17.667,25932.613318773652
17.75,25999.192877982096
17.833,26057.77289065235
17.917,26109.353300101695
18.0,26160.183752063087
18.083,26203.09798609606
18.167,26241.34581798176
18.25,26276.510491305868
18.333,26304.92554723838
18.417,26330.34077321908
18.5,26351.922883150226
18.583,26371.755092276147
18.667,26386.920899254786
18.75,26401.25342013571
18.833,26413.002754113666
18.917,26423.085515896168
19.0,26432.41832019072
19.083,26439.751237850724
19.167,26446.334198022774
19.25,26450.833942950503
19.333,26455.333687878232
19.417,26458.416846439824
19.5,26460.66671890369
19.583,26461.91664805028
19.667,26462.499948318688
19.75,26462.916591367553
19.833,26463.0832485871
19.917,26463.583220245735
20.0,26463.749877465285
20.083,26464.249849123917
20.167,26464.416506343463
20.25,26464.416506343463
20.333,26464.416506343463
20.417,26464.416506343463
20.5,26464.416506343463
20.583,26464.416506343463
20.667,26464.416506343463
20.75,26464.416506343463
20.833,26464.416506343463
20.917,26464.416506343463
21.0,26464.416506343463
21.083,26464.416506343463
21.167,26464.416506343463
21.25,26464.416506343463
21.333,26464.416506343463
21.417,26464.416506343463
21.5,26464.416506343463
21.583,26464.416506343463
21.667,26464.416506343463
21.75,26464.416506343463
21.833,26464.416506343463
21.917,26464.416506343463
2.0,0.0
2.083,0.0
2.167,0.0
2.25,0.0
2.333,0.0
2.417,0.0
2.5,0.0
2.583,0.0
2.667,0.0
2.75,0.0
2.833,0.0
2.917,0.0
3.0,0.0
3.083,0.0
3.167,0.0
3.25,0.0
3.333,0.0
3.417,0.0
3.5,0.0
3.583,0.0
3.667,0.0
3.75,0.0
3.833,0.0
3.917,0.0
4.0,0.0
4.083,0.0
4.167,0.0
4.25,0.0
4.333,0.0
4.417,0.0
4.5,0.0
4.583,0.0
4.667,0.0
4.75,0.0
4.833,0.0
4.917,0.0
5.0,0.0
5.083,0.0
5.167,0.0
5.25,0.0
5.333,0.0
5.417,0.0
5.5,0.0
5.583,0.0
5.667,0.0
5.75,0.0
5.833,0.41664304886384473
5.917,1.4165863661370721
6.0,4.083101878865679
6.083,8.999489855459048
6.167,14.499178100461796
6.25,21.49878132137439
6.333,30.49827117683344
6.417,42.080947935248325
6.5,55.49685410866412
6.583,72.32923328276345
6.667,90.82818465231817
6.75,112.82693763232916
6.833,138.492149442342
6.917,168.15713452144774
7.0,197.3221479419169
7.083,222.65404531283863
7.167,254.81888868512746
7.25,287.3170464965074
7.333,326.8148075287998
7.417,375.1454011970058
7.5,429.3923261590784
7.583,483.4725939016055
7.667,543.135878498908
7.75,606.7156077555308
7.833,671.6285947685178
7.917,761.7901505426538
8.0,850.6184485604253
8.083,947.5296217261557
8.167,1051.1904122834803
8.25,1155.184517279896
8.333,1242.3462431022124
8.417,1365.005956687728
8.5,1465.2502742443694
8.583,1594.2429621726155
8.667,1714.486146074721
8.75,1843.645491222513
8.833,1986.137413933948
8.917,2125.9628211326544
9.0,2259.5385825984026
9.083,2381.4483386959637
9.167,2501.3582081589784
9.25,2636.51721321041
9.333,2786.09206775253
