组ID,起始节点,结束节点,实际行数,总时间(小时),路径
1,38,117,8,7.628,38→98 → 98→48 → 48→36 → 36→121 → 121→65 → 65→58 → 58→109 → 109→117
2,108,41,8,7.8165,108→64 → 64→103 → 103→145 → 145→162 → 162→104 → 104→35 → 35→79 → 79→41
3,75,12,8,7.7331,75→113 → 113→116 → 116→77 → 77→27 → 27→160 → 160→144 → 144→99 → 99→12
4,148,187,8,7.9285,148→106 → 106→21 → 21→211 → 211→212 → 212→16 → 16→189 → 189→188 → 188→187
5,152,30,8,8.3508,152→126 → 126→33 → 33→89 → 89→51 → 51→85 → 85→186 → 186→120 → 120→30
6,167,134,8,7.5449,167→47 → 47→194 → 194→124 → 124→105 → 105→151 → 151→139 → 139→193 → 193→134
7,146,25,9,8.3584,146→191 → 191→195 → 195→190 → 190→192 → 192→97 → 97→13 → 13→128 → 128→215 → 215→25
8,216,183,8,7.8088,216→143 → 143→214 → 214→213 → 213→39 → 39→24 → 24→175 → 175→111 → 111→183
9,74,59,8,8.3435,74→182 → 182→181 → 181→161 → 161→168 → 168→87 → 87→93 → 93→125 → 125→59
10,122,177,8,7.8949,122→3 → 3→45 → 45→131 → 131→221 → 221→222 → 222→135 → 135→81 → 81→177
11,37,18,9,8.4864,37→14 → 14→198 → 198→40 → 40→176 → 176→197 → 197→184 → 184→185 → 185→153 → 153→18
12,102,141,8,7.7256,102→138 → 138→29 → 29→72 → 72→17 → 17→119 → 119→132 → 132→165 → 165→141
13,164,69,8,7.6748,164→2 → 2→142 → 142→157 → 157→4 → 4→67 → 67→166 → 166→179 → 179→69
14,73,78,8,8.027,73→133 → 133→92 → 92→80 → 80→174 → 174→57 → 57→1 → 1→110 → 110→78
15,218,43,8,7.6999,218→11 → 11→19 → 19→204 → 204→203 → 203→20 → 20→201 → 201→101 → 101→43
16,199,200,8,7.7223,199→82 → 82→63 → 63→54 → 54→8 → 8→129 → 129→158 → 158→15 → 15→200
17,202,100,8,7.7569,202→217 → 217→46 → 46→60 → 60→44 → 44→61 → 61→83 → 83→147 → 147→100
18,31,70,8,7.8148,31→115 → 115→140 → 140→26 → 26→169 → 169→49 → 49→156 → 156→155 → 155→70
19,53,123,8,7.897,53→205 → 205→206 → 206→150 → 150→71 → 71→149 → 149→10 → 10→5 → 5→123
20,56,94,8,7.8935,56→52 → 52→159 → 159→96 → 96→112 → 112→84 → 84→90 → 90→86 → 86→94
21,196,137,8,8.0167,196→136 → 136→88 → 88→209 → 209→210 → 210→118 → 118→91 → 91→76 → 76→137
22,68,130,8,7.736,68→6 → 6→170 → 170→127 → 127→163 → 163→173 → 173→55 → 55→154 → 154→130
23,207,219,8,7.966,207→22 → 22→9 → 9→107 → 107→32 → 32→34 → 34→208 → 208→178 → 178→219
24,95,62,8,7.8779,95→66 → 66→220 → 220→114 → 114→180 → 180→7 → 7→28 → 28→171 → 171→62
25,42,172,3,3.6772,42→23 → 23→50 → 50→172
