组ID,起始节点,结束节点,实际行数,总时间(小时),路径
1,38,117,8,7.628,38→98 → 98→48 → 48→36 → 36→121 → 121→65 → 65→58 → 58→109 → 109→117
2,108,41,8,7.8165,108→64 → 64→103 → 103→145 → 145→162 → 162→104 → 104→35 → 35→79 → 79→41
3,75,12,8,7.7331,75→113 → 113→116 → 116→77 → 77→27 → 27→160 → 160→144 → 144→99 → 99→12
4,148,187,8,7.9285,148→106 → 106→21 → 21→211 → 211→212 → 212→16 → 16→189 → 189→188 → 188→187
5,152,30,8,8.3508,152→126 → 126→33 → 33→89 → 89→51 → 51→85 → 85→186 → 186→120 → 120→30
6,167,134,8,7.5449,167→47 → 47→194 → 194→124 → 124→105 → 105→151 → 151→139 → 139→193 → 193→134
7,146,215,8,7.5841,146→191 → 191→195 → 195→190 → 190→192 → 192→97 → 97→13 → 13→128 → 128→215
8,25,111,8,7.7079,25→216 → 216→143 → 143→214 → 214→213 → 213→39 → 39→24 → 24→175 → 175→111
9,183,125,8,8.159,183→74 → 74→182 → 182→181 → 181→161 → 161→168 → 168→87 → 87→93 → 93→125
10,59,81,8,8.1065,59→122 → 122→3 → 3→45 → 45→131 → 131→221 → 221→222 → 222→135 → 135→81
11,177,185,8,7.6517,177→37 → 37→14 → 14→198 → 198→40 → 40→176 → 176→197 → 197→184 → 184→185
12,153,132,8,7.7551,153→18 → 18→102 → 102→138 → 138→29 → 29→72 → 72→17 → 17→119 → 119→132
13,165,166,8,7.7291,165→141 → 141→164 → 164→2 → 2→142 → 142→157 → 157→4 → 4→67 → 67→166
14,179,1,8,7.7365,179→69 → 69→73 → 73→133 → 133→92 → 92→80 → 80→174 → 174→57 → 57→1
15,110,201,8,7.7943,110→78 → 78→218 → 218→11 → 11→19 → 19→204 → 204→203 → 203→20 → 20→201
16,101,158,8,7.7232,101→43 → 43→199 → 199→82 → 82→63 → 63→54 → 54→8 → 8→129 → 129→158
17,15,83,8,7.9928,15→200 → 200→202 → 202→217 → 217→46 → 46→60 → 60→44 → 44→61 → 61→83
18,147,156,8,7.3158,147→100 → 100→31 → 31→115 → 115→140 → 140→26 → 26→169 → 169→49 → 49→156
19,155,10,8,8.1368,155→70 → 70→53 → 53→205 → 205→206 → 206→150 → 150→71 → 71→149 → 149→10
20,5,90,8,7.8766,5→123 → 123→56 → 56→52 → 52→159 → 159→96 → 96→112 → 112→84 → 84→90
21,86,91,8,7.8545,86→94 → 94→196 → 196→136 → 136→88 → 88→209 → 209→210 → 210→118 → 118→91
22,76,55,8,7.8891,76→137 → 137→68 → 68→6 → 6→170 → 170→127 → 127→163 → 163→173 → 173→55
23,154,208,8,7.8995,154→130 → 130→207 → 207→22 → 22→9 → 9→107 → 107→32 → 32→34 → 34→208
24,178,28,8,8.1852,178→219 → 219→95 → 95→66 → 66→220 → 220→114 → 114→180 → 180→7 → 7→28
25,171,172,5,5.2049,171→62 → 62→42 → 42→23 → 23→50 → 50→172
