路段,时间(小时)
38→98,0.18584285220669966
98→48,0.053277392881521626
48→36,0.06804614206042126
36→121,0.04667439955597026
121→65,0.025386459564469978
65→58,0.038430972094549445
58→109,0.04354339855651056
109→117,0.03348031646386799
117→108,0.0367765267172409
108→64,0.07905268371019862
64→103,0.056947503111426365
103→145,0.0949619226836764
145→162,0.045132093590344986
162→104,0.011988835040355136
104→35,0.016783576235816715
35→79,0.047430124979198005
79→41,0.04749213349241434
41→75,0.018382224196807996
75→113,0.056782095838642285
113→116,0.03958485549868515
116→77,0.08829083493616095
77→27,0.08585208891864751
27→160,0.06796346447789318
160→144,0.06727492359741893
144→99,0.037126513747631734
99→12,0.040246633497924046
12→148,0.054144278222762784
148→106,0.043740607733675343
106→21,0.06330292751733597
21→211,0.024481487856014346
211→212,0.05614164985503996
212→16,0.0859872870027871
16→189,0.08715222733520253
189→188,0.03196148627648287
188→187,0.035696316884598754
187→152,0.03888109689019093
152→126,0.049020747224034225
126→33,0.09597892046688451
33→89,0.04473634984350204
89→51,0.08365327653646175
51→85,0.09731269660135994
85→186,0.019504802063747603
186→120,0.05966927139018245
120→30,0.05093486337370716
30→167,0.0664404804854262
167→47,0.04099999909420897
47→194,0.022735599217311706
194→124,0.06268174668406712
124→105,0.03127062480762447
105→151,0.03134653560527397
151→139,0.04583802925533362
139→193,0.0322595548672312
193→134,0.027797357700052483
134→146,0.08726885668636328
146→191,0.042991439576286934
191→195,0.03624609779410614
195→190,0.044822421931092475
190→192,0.02957562037246105
192→97,0.04523585745511446
97→13,0.10032142372547899
13→128,0.05700990824250461
128→215,0.011194713206815598
215→25,0.0743052376789224
25→216,0.043222244090879366
216→143,0.040666747802680314
143→214,0.08886659670719771
214→213,0.02787025933288657
213→39,0.02497633504762973
39→24,0.041430707993964436
24→175,0.02280453128113387
175→111,0.0847605450429209
111→183,0.0441318928115456
183→74,0.06658316287166749
74→182,0.04217555574941117
182→181,0.08018021055848604
181→161,0.12782330742510342
161→168,0.058995689684002185
168→87,0.035117900744660493
87→93,0.04986718207660881
93→125,0.04828287978968371
125→59,0.034356181097825345
59→122,0.04155984121097978
122→3,0.08856223621478695
3→45,0.06996718480406258
45→131,0.021226555278701587
131→221,0.05353856252502228
221→222,0.015924304072782964
222→135,0.03921995689147348
135→81,0.04316031321544518
81→177,0.02997438469310863
177→37,0.027140245097137715
37→14,0.021076664830148674
14→198,0.037919576404913745
198→40,0.0437925938925377
40→176,0.026507060881294037
176→197,0.04639220068420432
197→184,0.07981518060035533
184→185,0.03575502504519551
185→153,0.0601764520718062
153→18,0.03491626919666218
18→102,0.05015016146121311
102→138,0.025260377331815305
138→29,0.03674315328661021
29→72,0.017444158551289564
72→17,0.0750702127532075
17→119,0.0519322681708078
119→132,0.046902887131402594
132→165,0.011283184124379992
